PRN,Sys,El(°),Az(°),Freq,SNR,Pseudorange (m),Phase (cyc)
C03,BDS,44.1,181.4,6I,38.3,36958784.32691785,156384767.99807853
C03,BDS,44.1,181.4,7I,40.0,36958782.805817276,148817757.45689848
C08,BDS,66.0,263.6,2I,28.1,36658098.46244214,190888405.00002885
C08,BDS,66.0,263.6,6I,25.2,36658090.52747912,155112458.32316744
C13,BDS,57.8,254.1,2I,32.6,37037442.69163668,192863776.86940023
C13,BDS,57.8,254.1,6I,31.6,37037441.71777493,156717638.2679188
C13,BDS,57.8,254.1,7I,28.0,37037442.393447354,149134536.7192375
C33,BDS,45.9,206.2,1P,47.8,23322093.048425,122558455.96643582
C33,BDS,45.9,206.2,2I,48.8,23322094.76161758,121444298.4275483
C33,BDS,45.9,206.2,5P,47.1,23322119.421986084,91521045.01837994
C33,BDS,45.9,206.2,6I,48.1,23322106.082202032,98683500.20178638
C33,BDS,45.9,206.2,7D,46.1,23322118.038253617,93908542.3432264
C59,BDS,36.9,138.4,2I,45.3,37934434.883881345,197534611.27883407
C59,BDS,36.9,138.4,6I,39.0,37934419.25797917,160513009.6533023
C59,BDS,36.9,138.4,7D,45.8,37934421.86909015,152746259.14143366
C60,BDS,32.4,222.6,2I,39.8,38097701.71206211,198384780.32844812
C60,BDS,32.4,222.6,6I,40.4,38097684.18534262,161203836.1936779
C60,BDS,32.4,222.6,7D,39.9,38097686.1794139,153403664.7373481
E04,GAL,46.9,114.3,5Q,25.9,24723169.30526629,97019636.40422565
E04,GAL,46.9,114.3,6C,26.8,24723167.038692407,105456030.62381792
E04,GAL,46.9,114.3,7Q,30.7,24723169.569392785,99550549.1988552
E04,GAL,46.9,114.3,8Q,31.4,24723168.63126908,98285108.82647036
E06,GAL,38.7,149.6,1C,44.3,25339125.735787764,133158386.62781893
E06,GAL,38.7,149.6,5Q,44.1,25339128.07439615,99436678.2493528
E06,GAL,38.7,149.6,6C,42.7,25339123.944418214,108083162.64642169
E06,GAL,38.7,149.6,7Q,44.7,25339127.07149723,102030570.17733726
E06,GAL,38.7,149.6,8Q,47.4,25339126.714116774,100733620.74597265
E09,GAL,22.9,172.0,1C,41.6,26648664.80155209,140039821.97977963
E09,GAL,22.9,172.0,5Q,38.6,26648667.911320493,104575293.41980986
E09,GAL,22.9,172.0,6C,36.1,26648664.813837044,113668714.34015104
E09,GAL,22.9,172.0,7Q,42.7,26648667.249608237,107303328.1004202
E09,GAL,22.9,172.0,8Q,43.9,26648667.277528588,105939311.29312234
E16,GAL,12.1,197.7,5Q,27.0,27663918.312734254,108559009.48370543
E16,GAL,12.1,197.7,6C,29.9,27663912.810750403,117998928.14593737
E16,GAL,12.1,197.7,7Q,29.2,27663916.827930126,111390983.02413335
E16,GAL,12.1,197.7,8Q,31.0,27663916.62076114,109975000.27225588
E25,GAL,29.6,244.5,1C,32.9,26001498.083119247,136638789.66393253
E25,GAL,29.6,244.5,5Q,32.4,26001500.048711773,102035470.37937139
E25,GAL,29.6,244.5,6C,33.8,26001495.688111763,110908106.75886402
E25,GAL,29.6,244.5,7Q,32.8,26001498.437149264,104697258.88890791
E25,GAL,29.6,244.5,8Q,35.6,26001498.764934156,103366365.67024764
G05,GPS,59.8,266.4,1C,32.3,20907285.936703295,109868752.58369744
G05,GPS,59.8,266.4,1W,14.5,20907285.512872405,109868752.58369744
G05,GPS,59.8,266.4,2W,14.5,20907285.128130004,85612100.85690916
G09,GPS,10.1,37.8,1C,31.0,24478435.21363793,128635029.80190286
G09,GPS,10.1,37.8,1W,19.6,24478434.923824713,128635029.80190286
G09,GPS,10.1,37.8,2L,32.2,24478432.652225167,100235103.9599033
G09,GPS,10.1,37.8,2W,19.6,24478433.580855954,100235091.9656312
G09,GPS,10.1,37.8,5Q,37.9,24478434.10799213,96058639.57911247
G12,GPS,19.8,229.6,1C,41.1,24009037.181931805,126168339.40578209
G12,GPS,19.8,229.6,1W,29.6,24009036.542555824,126168339.40578209
G12,GPS,19.8,229.6,2L,33.4,24009036.06120902,98312987.56832108
G12,GPS,19.8,229.6,2W,29.6,24009035.528488774,98312981.55632225
G13,GPS,23.3,171.5,1C,41.5,23193767.7935649,121884210.38494256
G13,GPS,23.3,171.5,1W,22.2,23193767.087180085,121884210.38494256
G13,GPS,23.3,171.5,2W,22.2,23193767.905246295,94974738.63054681
G19,GPS,11.4,146.4,1C,41.1,24179660.961045258,127065104.00856297
G19,GPS,11.4,146.4,1W,25.5,24179659.530965015,127065104.00856297
G19,GPS,11.4,146.4,2W,25.5,24179661.426198263,99011596.7677379
R05,GLO,70.7,162.5,1C,40.2,19456556.81634535,104006703.54285802
R05,GLO,70.7,162.5,2C,40.7,19456564.033755403,80894262.85042663
R05,GLO,70.7,162.5,2P,37.7,19456563.464738704,80893955.81875488
R06,GLO,21.3,197.8,1C,48.7,22564557.689814433,120408943.18090543
R06,GLO,21.3,197.8,2C,47.4,22564565.24226867,93651553.00747964
R06,GLO,21.3,197.8,2P,47.6,22564564.760921866,93651463.02912371
R18,GLO,5.2,116.9,1C,38.0,24152785.752270773,128929230.80056268
R18,GLO,5.2,116.9,2C,36.4,24152796.04706163,100278321.70849593
R18,GLO,5.2,116.9,2P,36.6,24152793.690584227,100278309.71651435
C01,BDS,35.1,132.6,2I,42.9,38214927.578076266,198995228.1498186
C01,BDS,35.1,132.6,6I,39.4,38214926.01956242,161699868.98832566
C01,BDS,35.1,132.6,7I,39.5,38214924.06960529,153875725.89370042
